Namespace(bidirection=True, checkpoint='checkpoint', crf=True, epoch=100, gpu=['1'], seed=1, weighted_tag=False)
word table length: 55004

----------- Epoch: 0 / 100  -----------
Iter  0    loss: tensor([510.6261], device='cuda:0', grad_fn=<AddBackward0>)
Iter  4700    loss: tensor([25.9618], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4800    loss: tensor([21.7254], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4900    loss: tensor([27.4665], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5000    loss: tensor([23.1682], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5100    loss: tensor([19.2510], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5200    loss: tensor([22.5809], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5300    loss: tensor([22.3608], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5400    loss: tensor([20.0501], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5500    loss: tensor([20.3560], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5600    loss: tensor([23.4438], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5700    loss: tensor([25.3936], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5800    loss: tensor([20.6214], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5900    loss: tensor([25.6581], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6000    loss: tensor([21.1098], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6100    loss: tensor([23.5276], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6200    loss: tensor([19.9828], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6300    loss: tensor([19.0276], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6400    loss: tensor([24.8881], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6500    loss: tensor([20.7742], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6600    loss: tensor([22.6278], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6700    loss: tensor([19.6948], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6800    loss: tensor([23.8178], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6900    loss: tensor([24.5651], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7000    loss: tensor([18.9218], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7100    loss: tensor([22.4765], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7200    loss: tensor([22.5772], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7300    loss: tensor([23.8831], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7400    loss: tensor([19.2459], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7500    loss: tensor([22.4115], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7600    loss: tensor([23.1675], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7700    loss: tensor([17.7379], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7800    loss: tensor([21.4015], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7900    loss: tensor([20.5977], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8000    loss: tensor([23.5217], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8100    loss: tensor([23.5546], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8200    loss: tensor([19.2186], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8300    loss: tensor([26.7607], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8400    loss: tensor([23.1427], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8500    loss: tensor([21.9425], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8600    loss: tensor([18.2774], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8700    loss: tensor([21.1447], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8800    loss: tensor([19.7702], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8900    loss: tensor([18.6077], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9000    loss: tensor([17.5347], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9100    loss: tensor([18.6797], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9200    loss: tensor([24.5522], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9300    loss: tensor([16.8919], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9400    loss: tensor([19.3589], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9500    loss: tensor([18.9484], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9600    loss: tensor([21.0939], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9700    loss: tensor([17.2902], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9800    loss: tensor([21.3290], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9900    loss: tensor([18.9496], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10000    loss: tensor([19.4631], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10100    loss: tensor([20.3417], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10200    loss: tensor([18.4304], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10300    loss: tensor([24.1559], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10400    loss: tensor([22.6832], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10500    loss: tensor([20.3699], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10600    loss: tensor([23.0020], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10700    loss: tensor([22.0190], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10800    loss: tensor([18.4170], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10900    loss: tensor([18.2435], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11000    loss: tensor([18.1982], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11100    loss: tensor([18.6616], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11200    loss: tensor([19.4630], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11300    loss: tensor([15.1464], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11400    loss: tensor([17.2353], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11500    loss: tensor([24.2854], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11600    loss: tensor([18.6102], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11700    loss: tensor([21.2578], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11800    loss: tensor([17.0451], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11900    loss: tensor([19.7138], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12000    loss: tensor([16.1603], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12100    loss: tensor([19.6954], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12200    loss: tensor([17.6844], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12300    loss: tensor([14.1339], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12400    loss: tensor([21.6788], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12500    loss: tensor([16.7922], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12600    loss: tensor([14.7910], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12700    loss: tensor([15.9111], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12800    loss: tensor([15.9028], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12900    loss: tensor([21.7455], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13000    loss: tensor([14.9369], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13100    loss: tensor([14.5418], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13200    loss: tensor([15.1299], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13300    loss: tensor([18.0426], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13400    loss: tensor([16.2198], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13500    loss: tensor([16.4885], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13600    loss: tensor([15.2275], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13700    loss: tensor([14.0332], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13800    loss: tensor([17.5367], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13900    loss: tensor([16.1107], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14000    loss: tensor([18.0810], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14100    loss: tensor([18.7509], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14200    loss: tensor([16.1350], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14300    loss: tensor([18.1323], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14400    loss: tensor([22.3871], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14500    loss: tensor([16.7128], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14600    loss: tensor([18.2293], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14700    loss: tensor([14.8385], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14800    loss: tensor([18.3061], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14900    loss: tensor([18.2126], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15000    loss: tensor([16.3915], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15100    loss: tensor([17.3445], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15200    loss: tensor([12.6917], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15300    loss: tensor([25.7367], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15400    loss: tensor([15.4371], device='cuda:0', grad_fn=<DivBackward0>)
Time use: 11248.340375
**********Testing...
The confusion matrix is saved in checkpoint/Con_Matrix.txt
Max accuracy's model is saved in  checkpoint/epoch_max_accuracy.pkl
The confusion matrix is saved in checkpoint/Con_Matrix.txt
Acc: 0.9226390360407276 ( 205516 / 222748 )    Max acc so far: 0.9226390360407276

----------- Epoch: 1 / 100  -----------
Iter  0    loss: tensor([68.1140], device='cuda:0', grad_fn=<AddBackward0>)
Iter  100    loss: tensor([18.0884], device='cuda:0', grad_fn=<DivBackward0>)
Iter  200    loss: tensor([16.1490], device='cuda:0', grad_fn=<DivBackward0>)
Iter  300    loss: tensor([14.9364], device='cuda:0', grad_fn=<DivBackward0>)
Iter  400    loss: tensor([16.4797], device='cuda:0', grad_fn=<DivBackward0>)
Iter  500    loss: tensor([13.7254], device='cuda:0', grad_fn=<DivBackward0>)
Iter  600    loss: tensor([14.6992], device='cuda:0', grad_fn=<DivBackward0>)
Iter  700    loss: tensor([11.6583], device='cuda:0', grad_fn=<DivBackward0>)
Iter  800    loss: tensor([14.4053], device='cuda:0', grad_fn=<DivBackward0>)
Iter  900    loss: tensor([12.7875], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1000    loss: tensor([13.7721], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1100    loss: tensor([14.1058], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1200    loss: tensor([16.2949], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1300    loss: tensor([13.4406], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1400    loss: tensor([13.3000], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1500    loss: tensor([12.6078], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1600    loss: tensor([14.8603], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1700    loss: tensor([14.6907], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1800    loss: tensor([13.3842], device='cuda:0', grad_fn=<DivBackward0>)
Iter  1900    loss: tensor([14.7714], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2000    loss: tensor([13.9487], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2100    loss: tensor([13.7307], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2200    loss: tensor([13.5992], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2300    loss: tensor([18.4664], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2400    loss: tensor([14.3798], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2500    loss: tensor([14.8081], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2600    loss: tensor([12.1959], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2700    loss: tensor([12.8701], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2800    loss: tensor([13.4425], device='cuda:0', grad_fn=<DivBackward0>)
Iter  2900    loss: tensor([14.3787], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3000    loss: tensor([12.9473], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3100    loss: tensor([14.9882], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3200    loss: tensor([14.8524], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3300    loss: tensor([11.5895], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3400    loss: tensor([12.1427], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3500    loss: tensor([12.3775], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3600    loss: tensor([13.4078], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3700    loss: tensor([14.5529], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3800    loss: tensor([12.7417], device='cuda:0', grad_fn=<DivBackward0>)
Iter  3900    loss: tensor([15.4424], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4000    loss: tensor([11.7089], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4100    loss: tensor([14.9966], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4200    loss: tensor([13.6835], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4300    loss: tensor([13.3040], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4400    loss: tensor([8.3523], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4500    loss: tensor([11.2131], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4600    loss: tensor([14.6603], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4700    loss: tensor([12.7770], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4800    loss: tensor([9.9706], device='cuda:0', grad_fn=<DivBackward0>)
Iter  4900    loss: tensor([14.1073], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5000    loss: tensor([11.5654], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5100    loss: tensor([9.3944], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5200    loss: tensor([11.2489], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5300    loss: tensor([11.9554], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5400    loss: tensor([9.8059], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5500    loss: tensor([10.2426], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5600    loss: tensor([12.2364], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5700    loss: tensor([12.3492], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5800    loss: tensor([10.8264], device='cuda:0', grad_fn=<DivBackward0>)
Iter  5900    loss: tensor([14.3025], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6000    loss: tensor([10.6730], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6100    loss: tensor([11.9485], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6200    loss: tensor([10.4010], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6300    loss: tensor([10.3688], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6400    loss: tensor([13.3604], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6500    loss: tensor([11.1147], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6600    loss: tensor([12.8622], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6700    loss: tensor([10.9312], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6800    loss: tensor([12.8921], device='cuda:0', grad_fn=<DivBackward0>)
Iter  6900    loss: tensor([13.3574], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7000    loss: tensor([9.8897], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7100    loss: tensor([12.5667], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7200    loss: tensor([12.2759], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7300    loss: tensor([13.5716], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7400    loss: tensor([11.4637], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7500    loss: tensor([12.6041], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7600    loss: tensor([13.2072], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7700    loss: tensor([9.8513], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7800    loss: tensor([12.2713], device='cuda:0', grad_fn=<DivBackward0>)
Iter  7900    loss: tensor([12.0553], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8000    loss: tensor([12.6118], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8100    loss: tensor([13.5488], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8200    loss: tensor([11.4714], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8300    loss: tensor([16.5961], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8400    loss: tensor([13.4325], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8500    loss: tensor([12.7366], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8600    loss: tensor([10.0860], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8700    loss: tensor([12.7423], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8800    loss: tensor([10.9073], device='cuda:0', grad_fn=<DivBackward0>)
Iter  8900    loss: tensor([10.9629], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9000    loss: tensor([10.2209], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9100    loss: tensor([11.5606], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9200    loss: tensor([14.7563], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9300    loss: tensor([10.0334], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9400    loss: tensor([11.3139], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9500    loss: tensor([11.1563], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9600    loss: tensor([12.1125], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9700    loss: tensor([10.1345], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9800    loss: tensor([13.0581], device='cuda:0', grad_fn=<DivBackward0>)
Iter  9900    loss: tensor([11.6114], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10000    loss: tensor([11.6449], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10100    loss: tensor([12.2302], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10200    loss: tensor([10.8540], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10300    loss: tensor([14.5098], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10400    loss: tensor([13.1155], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10500    loss: tensor([12.3980], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10600    loss: tensor([13.5043], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10700    loss: tensor([13.5256], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10800    loss: tensor([11.6619], device='cuda:0', grad_fn=<DivBackward0>)
Iter  10900    loss: tensor([11.4223], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11000    loss: tensor([10.8228], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11100    loss: tensor([11.8986], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11200    loss: tensor([11.2539], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11300    loss: tensor([9.1439], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11400    loss: tensor([10.4857], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11500    loss: tensor([14.7169], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11600    loss: tensor([11.6097], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11700    loss: tensor([13.8673], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11800    loss: tensor([10.3795], device='cuda:0', grad_fn=<DivBackward0>)
Iter  11900    loss: tensor([12.5612], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12000    loss: tensor([9.7835], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12100    loss: tensor([12.1984], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12200    loss: tensor([10.3264], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12300    loss: tensor([8.2623], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12400    loss: tensor([13.9711], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12500    loss: tensor([10.8217], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12600    loss: tensor([9.2476], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12700    loss: tensor([9.9756], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12800    loss: tensor([10.0444], device='cuda:0', grad_fn=<DivBackward0>)
Iter  12900    loss: tensor([13.3362], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13000    loss: tensor([9.5235], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13100    loss: tensor([8.5732], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13200    loss: tensor([9.4205], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13300    loss: tensor([11.6278], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13400    loss: tensor([9.3433], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13500    loss: tensor([10.0336], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13600    loss: tensor([9.9984], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13700    loss: tensor([8.7643], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13800    loss: tensor([11.2120], device='cuda:0', grad_fn=<DivBackward0>)
Iter  13900    loss: tensor([9.6198], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14000    loss: tensor([10.4872], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14100    loss: tensor([12.2986], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14200    loss: tensor([10.6389], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14300    loss: tensor([11.3486], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14400    loss: tensor([15.1789], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14500    loss: tensor([10.7149], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14600    loss: tensor([11.4624], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14700    loss: tensor([9.5301], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14800    loss: tensor([11.2422], device='cuda:0', grad_fn=<DivBackward0>)
Iter  14900    loss: tensor([12.3555], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15000    loss: tensor([10.5421], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15100    loss: tensor([11.3210], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15200    loss: tensor([7.8741], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15300    loss: tensor([17.0777], device='cuda:0', grad_fn=<DivBackward0>)
Iter  15400    loss: tensor([9.4012], device='cuda:0', grad_fn=<DivBackward0>)
Time use: 10586.693340999998
**********Testing...
The confusion matrix is saved in checkpoint/Con_Matrix.txt
Max accuracy's model is saved in  checkpoint/epoch_max_accuracy.pkl
The confusion matrix is saved in checkpoint/Con_Matrix.txt
Acc: 0.9389354786574964 ( 209146 / 222748 )    Max acc so far: 0.9389354786574964

----------- Epoch: 2 / 100  -----------
Iter  0    loss: tensor([47.8860], device='cuda:0', grad_fn=<AddBackward0>)
Iter  100    loss: tensor([11.8887], device='cuda:0', grad_fn=<DivBackward0>)
Iter  200    loss: tensor([10.8967], device='cuda:0', grad_fn=<DivBackward0>)
